country,sex,HLE0_2014,HLE0_2024,delta_observed,delta_prev_total,delta_mort_total,recomp_total
United Kingdom,Male,62.90247936645047,60.69851197288935,-2.203967393561122,-2.1855652437779836,-0.018402149783130796,-2.2039673935611144
United Kingdom,Female,63.70356428504314,60.8922782275839,-2.8112860574592418,-2.8675701049892375,0.05628404752999153,-2.8112860574592458
England,Male,63.20194403999464,60.89580395476596,-2.3061400852286837,-2.203273532945512,-0.10286655228316614,-2.306140085228678
England,Female,63.90333625530656,61.291804625553056,-2.6115316297535074,-2.771764164863882,0.16023253511038238,-2.6115316297535
Northern Ireland,Male,61.004047518720775,60.799421465456454,-0.20462605326432026,-0.40903164551604754,0.20440559225172567,-0.20462605326432187
Northern Ireland,Female,62.50111161263954,60.70158171624667,-1.799529896392869,-1.9305279715576473,0.13099807516477213,-1.7995298963928752
Scotland,Male,61.60242059349255,59.101989122506275,-2.5004314709862783,-2.4359051724412706,-0.06452629854500491,-2.5004314709862756
Scotland,Female,62.99872490851732,59.394453343772284,-3.6042715647450336,-3.5833207348238174,-0.020950829921229062,-3.6042715647450465
Wales,Male,61.3964868602328,59.20298303073032,-2.1935038295024754,-2.0574167551597533,-0.13608707434272102,-2.1935038295024745
Wales,Female,62.19638595050325,58.49322545466678,-3.703160495836471,-3.6721102605276044,-0.03105023530887646,-3.7031604958364808
