period,country,sex,age,agecode,hle,prop
2011 to 2013,England,Male,<1,1,63,80
2011 to 2013,England,Male,01 to 04,2,62.4,79
2011 to 2013,England,Male,05 to 09,3,58.6,78
2011 to 2013,England,Male,10 to 14,4,53.9,77
2011 to 2013,England,Male,15 to 19,5,49.2,76
2011 to 2013,England,Male,20 to 24,6,44.6,75
2011 to 2013,England,Male,25 to 29,7,40.1,73
2011 to 2013,England,Male,30 to 34,8,35.7,71
2011 to 2013,England,Male,35 to 39,9,31.4,69
2011 to 2013,England,Male,40 to 44,10,27.3,67
2011 to 2013,England,Male,45 to 49,11,23.3,65
2011 to 2013,England,Male,50 to 54,12,19.5,62
2011 to 2013,England,Male,55 to 59,13,16,60
2011 to 2013,England,Male,60 to 64,14,12.8,57
2011 to 2013,England,Male,65 to 69,15,10,54
2011 to 2013,England,Male,70 to 74,16,7.4,50
2011 to 2013,England,Male,75 to 79,17,5.3,46
2011 to 2013,England,Male,80 to 84,18,3.5,42
2011 to 2013,England,Male,85 to 89,19,2.2,37
2011 to 2013,England,Male,90+,20,1.4,33
2011 to 2013,England,Female,<1,1,63.9,77
2011 to 2013,England,Female,01 to 04,2,63.2,77
2011 to 2013,England,Female,05 to 09,3,59.5,76
2011 to 2013,England,Female,10 to 14,4,54.8,75
2011 to 2013,England,Female,15 to 19,5,50.2,73
2011 to 2013,England,Female,20 to 24,6,45.6,72
2011 to 2013,England,Female,25 to 29,7,41.1,70
2011 to 2013,England,Female,30 to 34,8,36.7,68
2011 to 2013,England,Female,35 to 39,9,32.4,67
2011 to 2013,England,Female,40 to 44,10,28.3,64
2011 to 2013,England,Female,45 to 49,11,24.3,62
2011 to 2013,England,Female,50 to 54,12,20.6,60
2011 to 2013,England,Female,55 to 59,13,17,57
2011 to 2013,England,Female,60 to 64,14,13.8,55
2011 to 2013,England,Female,65 to 69,15,10.8,52
2011 to 2013,England,Female,70 to 74,16,8.1,48
2011 to 2013,England,Female,75 to 79,17,5.8,45
2011 to 2013,England,Female,80 to 84,18,3.9,41
2011 to 2013,England,Female,85 to 89,19,2.5,36
2011 to 2013,England,Female,90+,20,1.5,31
2012 to 2014,England,Male,<1,1,63.2,80
2012 to 2014,England,Male,01 to 04,2,62.5,79
2012 to 2014,England,Male,05 to 09,3,58.8,79
2012 to 2014,England,Male,10 to 14,4,54,77
2012 to 2014,England,Male,15 to 19,5,49.4,76
2012 to 2014,England,Male,20 to 24,6,44.8,75
2012 to 2014,England,Male,25 to 29,7,40.3,73
2012 to 2014,England,Male,30 to 34,8,35.9,71
2012 to 2014,England,Male,35 to 39,9,31.6,69
2012 to 2014,England,Male,40 to 44,10,27.4,67
2012 to 2014,England,Male,45 to 49,11,23.5,65
2012 to 2014,England,Male,50 to 54,12,19.7,63
