period,country,sex,agecode,age,pi,LE,HLE,u,rho,lx,Lx
2011 to 2013,England,Female,1,<1,0.943899749187725,82.98701298701299,63.9,1.4210854715202004e-14,1.0110759493670884,1.0,1.4210854715202004e-14
2011 to 2013,England,Female,2,01 to 04,0.943284629451804,82.07792207792208,63.2,4.47816722675617,0.9911901459980857,1.0110759493670884,4.527767180217077
2011 to 2013,England,Female,3,05 to 09,0.940195274925086,78.28947368421052,59.5,4.1162680679132535,1.015144237449324,1.0021685178683175,4.125194268769309
2011 to 2013,England,Female,4,10 to 14,0.933451084177889,73.06666666666666,54.8,7.182725711383341,0.9580732449672674,1.0173455958671525,7.307314368797602
2011 to 2013,England,Female,5,15 to 19,0.922338912700802,68.76712328767124,50.2,3.398610893464493,1.032134406224317,0.974691596285601,3.3125974769045397
2011 to 2013,England,Female,6,20 to 24,0.907987262535666,63.333333333333336,45.6,6.09011653513857,0.9749452982660909,1.0060127319840704,6.126734773616113
2011 to 2013,England,Female,7,25 to 29,0.891079196513065,58.714285714285715,41.1,5.563247035635911,0.9848148855989609,0.9808073830436944,5.456473766247648
2011 to 2013,England,Female,8,30 to 34,0.870581729668037,53.97058823529412,36.7,2.690703102651277,1.060417377742923,0.9659137107267921,2.5989870183459876
2011 to 2013,England,Female,9,35 to 39,0.845965142460277,48.35820895522388,32.4,7.043649480331425,0.9343221930717728,1.0242716842548412,7.214610716519805
2011 to 2013,England,Female,10,40 to 44,0.817762561218492,44.21875,28.3,4.47190304651712,1.0141170827637607,0.9569997663343016,4.279610170586536
2011 to 2013,England,Female,11,45 to 49,0.785941184073084,39.193548387096776,24.3,4.215693105588905,1.0187724839274137,0.9705098112405426,4.091371520153144
2011 to 2013,England,Female,12,50 to 54,0.750362054424132,34.333333333333336,20.6,5.710735571784365,0.9596988661225243,0.988728691073453,5.646368106956962
2011 to 2013,England,Female,13,55 to 59,0.711285077284615,29.82456140350877,17.0,3.6983658879833428,1.0412614154738395,0.9488818037260004,3.5093120946283456
2011 to 2013,England,Female,14,60 to 64,0.67015381039025,25.09090909090909,13.8,5.01304143245472,0.9667121465181734,0.9880340100651052,4.953055429130757
2011 to 2013,England,Female,15,65 to 69,0.624249421723345,20.76923076923077,10.8,5.759255190378216,0.8894800343023735,0.9551444787029963,5.500920796531327
2011 to 2013,England,Female,16,70 to 74,0.573352314599744,16.875,8.1,4.1040981001669135,0.9908458370560153,0.8495819436804639,3.486767640995106
2011 to 2013,England,Female,17,75 to 79,0.517926492845377,12.88888888888889,5.8,4.776913823134933,0.8527973787074673,0.8418047321337456,4.021228661310089
2011 to 2013,England,Female,18,80 to 84,0.459107845402927,9.512195121951219,3.9,4.798911268466695,0.6787128749017715,0.7178888689471999,3.445084982697528
2011 to 2013,England,Female,19,85 to 89,0.398148266125987,6.944444444444445,2.5,3.939070358184362,0.6211106444937504,0.4872404181031351,1.9192742882594147
2011 to 2013,England,Female,20,90+,0.311173310089877,4.838709677419355,1.5,4.838709677419355,0.0,0.3026302101114427,1.4643397263456905
2011 to 2013,England,Male,1,<1,0.950584462116804,78.75,63.0,4.903961377204709,0.9349097838462866,1.0,4.903961377204709
2011 to 2013,England,Male,2,01 to 04,0.949144239709577,78.9873417721519,62.4,4.669821562222566,0.989209313374486,0.9349097838462866,4.365861867338228
2011 to 2013,England,Male,3,05 to 09,0.946500855053518,75.12820512820512,58.6,4.256534910577386,1.0124524316803962,0.9248214653456743,3.936534853295197
2011 to 2013,England,Male,4,10 to 14,0.941772757491525,70.0,53.9,3.850962100482235,1.0218144065779167,0.9363377414594553,3.6058011556114957
2011 to 2013,England,Male,5,15 to 19,0.933451159566315,64.73684210526316,49.2,3.5288325382245205,1.029282672091457,0.9567633936459,3.3762577948797676
2011 to 2013,England,Male,6,20 to 24,0.919110180484532,59.46666666666667,44.6,6.289102629409264,0.9680703677605462,0.9847799823711425,6.193382376519961
2011 to 2013,England,Male,7,25 to 29,0.904747671208686,54.93150684931507,40.1,5.641300510387325,0.9802814145837169,0.9533363196972562,5.378056666878905
2011 to 2013,England,Male,8,30 to 34,0.886868475263767,50.28169014084508,35.7,5.108150512516218,0.9926669536161438,0.9345378760468608,4.77376013049459
2011 to 2013,England,Male,9,35 to 39,0.863353775485976,45.507246376811594,31.4,4.707148465286849,1.0013210842755158,0.9276848664543387,4.366750395400376
2011 to 2013,England,Male,10,40 to 44,0.835940031313349,40.74626865671642,27.3,4.3827322571598515,1.0144334188717496,0.9289104163440455,4.071165645722836
2011 to 2013,England,Male,11,45 to 49,0.805088423787257,35.84615384615385,23.3,5.810112774101306,0.954992075111414,0.9423177694774705,5.474972509703701
2011 to 2013,England,Male,12,50 to 54,0.76777389776065,31.451612903225808,19.5,3.749285594842082,1.0388372740643896,0.8999060020876486,3.3740046103391492
2011 to 2013,England,Male,13,55 to 59,0.724234861631646,26.666666666666668,16.0,5.186894788485702,0.9565210914502461,0.9348558981229158,4.848999185958872
2011 to 2013,England,Male,14,60 to 64,0.679775450008163,22.45614035087719,12.8,4.819760626683536,0.9523645051064573,0.8942093840212315,4.309875181116469
2011 to 2013,England,Male,15,65 to 69,0.637523045444542,18.51851851851852,10.0,5.3863026254712665,0.8873118846653548,0.8516132774749302,4.587046832349407
2011 to 2013,England,Male,16,70 to 74,0.586371969268676,14.8,7.4,4.684583166868011,0.8779418383473048,0.7556465822423201,3.539889259273717
2011 to 2013,England,Male,17,75 to 79,0.527582727079671,11.521739130434783,5.3,4.283862082024478,0.8685452458092365,0.6634137495546804,2.8419730064109787
2011 to 2013,England,Male,18,80 to 84,0.464022302191332,8.333333333333334,3.5,4.431572690261983,0.6562051990619999,0.5762048581801972,2.5534937135076405
2011 to 2013,England,Male,19,85 to 89,0.40113148701971,5.9459459459459465,2.2,3.3436365216424466,0.6134015071572536,0.3781086236626277,1.2642578032263214
2011 to 2013,England,Male,20,90+,0.328529820889493,4.242424242424242,1.4,4.242424242424242,0.0,0.23193239962381065,0.9839556347676816
2011 to 2013,Northern Ireland,Female,1,<1,0.959169884200182,82.36842105263158,62.6,2.842170943040401e-14,1.0129449838187699,1.0,2.842170943040401e-14
