period,country,sex,age,agecode,prev
2011 to 2013,England,Male,<1,1,0.950584462116804
2011 to 2013,England,Male,01 to 04,2,0.949144239709577
2011 to 2013,England,Male,05 to 09,3,0.946500855053518
2011 to 2013,England,Male,10 to 14,4,0.941772757491525
2011 to 2013,England,Male,15 to 19,5,0.933451159566315
2011 to 2013,England,Male,20 to 24,6,0.919110180484532
2011 to 2013,England,Male,25 to 29,7,0.904747671208686
2011 to 2013,England,Male,30 to 34,8,0.886868475263767
2011 to 2013,England,Male,35 to 39,9,0.863353775485976
2011 to 2013,England,Male,40 to 44,10,0.835940031313349
2011 to 2013,England,Male,45 to 49,11,0.805088423787257
2011 to 2013,England,Male,50 to 54,12,0.76777389776065
2011 to 2013,England,Male,55 to 59,13,0.724234861631646
2011 to 2013,England,Male,60 to 64,14,0.679775450008163
2011 to 2013,England,Male,65 to 69,15,0.637523045444542
2011 to 2013,England,Male,70 to 74,16,0.586371969268676
2011 to 2013,England,Male,75 to 79,17,0.527582727079671
2011 to 2013,England,Male,80 to 84,18,0.464022302191332
2011 to 2013,England,Male,85 to 89,19,0.40113148701971
2011 to 2013,England,Male,90+,20,0.328529820889493
2011 to 2013,England,Female,<1,1,0.943899749187725
2011 to 2013,England,Female,01 to 04,2,0.943284629451804
2011 to 2013,England,Female,05 to 09,3,0.940195274925086
2011 to 2013,England,Female,10 to 14,4,0.933451084177889
2011 to 2013,England,Female,15 to 19,5,0.922338912700802
2011 to 2013,England,Female,20 to 24,6,0.907987262535666
2011 to 2013,England,Female,25 to 29,7,0.891079196513065
2011 to 2013,England,Female,30 to 34,8,0.870581729668037
2011 to 2013,England,Female,35 to 39,9,0.845965142460277
2011 to 2013,England,Female,40 to 44,10,0.817762561218492
2011 to 2013,England,Female,45 to 49,11,0.785941184073084
2011 to 2013,England,Female,50 to 54,12,0.750362054424132
2011 to 2013,England,Female,55 to 59,13,0.711285077284615
2011 to 2013,England,Female,60 to 64,14,0.67015381039025
2011 to 2013,England,Female,65 to 69,15,0.624249421723345
2011 to 2013,England,Female,70 to 74,16,0.573352314599744
2011 to 2013,England,Female,75 to 79,17,0.517926492845377
2011 to 2013,England,Female,80 to 84,18,0.459107845402927
2011 to 2013,England,Female,85 to 89,19,0.398148266125987
2011 to 2013,England,Female,90+,20,0.311173310089877
2012 to 2014,England,Male,<1,1,0.95026834616446
2012 to 2014,England,Male,01 to 04,2,0.948984595313346
